digits,t,d,side,norm4,model_mean,survival
30,880263836805987050565669834959,3155370,d+1,0.03298,4653662.3,0.489145
30,114020174627198993135191120907,30365304,d-1,0.36052,10040773.3,0.054991
30,788538143613388585795024838291,30913488,d+1,0.32528,8365694.9,0.030162
30,649377318386536072929244912511,3970098,d-1,0.04228,9430062.3,0.632600
30,354195927512261232714571433051,9471348,d-1,0.10472,4449529.1,0.124228
30,533108861096671516909302556019,3455280,d+1,0.03725,3874407.7,0.396981
30,683863470458075526675322879211,1535118,d+1,0.01630,5895879.3,0.746464
30,730839959645624188643740749959,44850,d+1,0.00047,4464889.9,0.985325
30,367277774132008312686454261091,38320656,d+1,0.42275,10894290.9,0.035285
30,320767360192820321270919469697,545862,d+1,0.00607,2289958.0,0.763292
30,785264715363883341710826707201,1178268,d+1,0.01240,4253882.4,0.733118
30,573219582676721386930108252301,232416,d+1,0.00249,5879758.9,0.950248
30,403760619980225265280715136167,9020874,d-1,0.09893,4007719.2,0.111042
30,416193067493674232346176028509,1406880,d-1,0.01540,5083566.4,0.733050
30,579991443766903960933194771257,199752,both,0.00214,4505346.0,0.944819
30,298213867047977205962882157371,4568736,d+1,0.05106,5066087.2,0.393617
30,798094262258775268630673396447,4610322,d-1,0.04848,3147268.6,0.230105
30,332993680718262453167989682261,130728,d+1,0.00145,11513128.9,0.983812
30,669091343430417645160551496811,4513758,both,0.04798,9938256.7,0.611789
30,427301383133958837732495896147,3024024,d-1,0.03305,4141422.9,0.465057
30,198092475612359283815574165299,4808640,d+1,0.05514,3124565.6,0.214659
30,285584963267430246588397132529,434682,d+1,0.00487,3590214.7,0.865321
30,214789935704504147354777859719,2381568,d+1,0.02717,2267944.2,0.341113
30,698489650045151187345330739541,1426566,d+1,0.01512,5237328.6,0.736304
30,772568231727460480491487483031,4866186,d+1,0.05127,5560111.8,0.403505
30,151381430600928850166638897427,17529294,d-1,0.20442,7913202.2,0.114800
30,216514661133188502380150592611,2397276,d+1,0.02733,4403331.5,0.558641
30,384303351074367699539843602937,3845982,both,0.04231,3668458.2,0.341498
30,365930078355861820652869317761,4675146,d+1,0.05159,2653503.4,0.174312
30,364570635732729227506128456869,132852,d-1,0.00147,2017219.9,0.921768
30,148028375219573606751199606031,12903888,d-1,0.15070,9812814.8,0.265155
30,592696440055903928649125274071,1922748,d+1,0.02059,6757465.4,0.728008
30,782648525395938781032819717917,53652,d+1,0.00056,4552246.1,0.983216
30,364401690312216787720989252707,8621934,d-1,0.09516,6445209.5,0.259439
40,4472693984391957626307576871559223464237,27974652,d-1,0.08919,24202971.4,0.308783
40,5369853111086247853325874086105647831547,156684,d-1,0.00050,8119774.3,0.974487
